# sudoku 1
8, 7, 0, 0, 3, 5, 9, 0, 2
0, 4, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 9, 0, 1, 0, 0, 7
0, 0, 0, 0, 0, 0, 5, 0, 0
0, 1, 0, 0, 6, 0, 0, 0, 0
0, 0, 3, 0, 2, 4, 0, 7, 9
0, 0, 0, 0, 0, 9, 6, 5, 0
0, 0, 0, 6, 1, 0, 0, 4, 0
7, 6, 0, 3, 0, 0, 0, 9, 1
# sudoku 2
4, 1, 5, 9, 0, 0, 0, 0, 0
0, 0, 3, 0, 0, 5, 0, 2, 0
9, 0, 0, 0, 7, 0, 0, 0, 1
1, 5, 0, 0, 9, 0, 8, 3, 2
0, 9, 0, 0, 0, 8, 7, 0, 0
0, 0, 4, 0, 0, 3, 0, 0, 6
0, 0, 0, 0, 0, 0, 0, 0, 7
6, 0, 0, 0, 3, 1, 9, 0, 4
5, 0, 0, 0, 2, 0, 0, 0, 0
# sudoku 3
0, 0, 2, 4, 1, 0, 0, 0, 0
0, 8, 5, 7, 6, 0, 0, 0, 9
3, 7, 0, 9, 0, 0, 0, 0, 0
4, 0, 0, 0, 5, 0, 0, 3, 0
0, 1, 0, 0, 9, 6, 0, 0, 5
0, 0, 0, 2, 8, 4, 1, 0, 0
0, 0, 7, 5, 0, 0, 0, 0, 3
0, 0, 0, 6, 0, 0, 0, 0, 0
0, 0, 9, 0, 0, 1, 2, 0, 7
# sudoku 4
0, 0, 0, 0, 1, 5, 7, 0, 0
0, 0, 0, 0, 0, 0, 6, 0, 0
0, 0, 0, 0, 6, 3, 2, 4, 9
8, 1, 0, 3, 9, 6, 0, 0, 0
6, 0, 4, 0, 0, 0, 0, 8, 0
0, 0, 0, 2, 0, 0, 0, 1, 6
0, 0, 5, 0, 0, 0, 0, 0, 0
9, 4, 0, 8, 0, 1, 5, 2, 0
7, 0, 0, 0, 0, 0, 1, 0, 3
# sudoku 5
0, 8, 0, 4, 7, 9, 0, 0, 2
0, 0, 7, 0, 0, 2, 0, 0, 0
0, 0, 0, 5, 0, 0, 0, 6, 4
2, 4, 3, 0, 0, 7, 0, 0, 0
8, 0, 0, 9, 1, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 0, 0, 0
6, 0, 0, 3, 0, 5, 0, 0, 0
0, 0, 8, 0, 0, 0, 0, 0, 9
3, 7, 0, 0, 9, 1, 2, 0, 0
